"PEPANNRES: Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014",,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,
Geography,,,"April 1, 2010",,,,Population Estimate (as of July 1),,,,
,,,Census,,,Estimates Base,2010,2011,2012,2013,2014
"Autauga County, Alabama",,,"54,571",,,"54,571","54,684","55,275","55,192","55,136","55,395"
"Baldwin County, Alabama",,,"182,265",,,"182,265","183,216","186,694","190,561","195,443","200,111"
"Barbour County, Alabama",,,"27,457",,,"27,457","27,336","27,225","27,169","26,978","26,887"
"Bibb County, Alabama",,,"22,915",,,"22,919","22,879","22,740","22,634","22,504","22,506"
"Blount County, Alabama",,,"57,322",,,"57,322","57,344","57,694","57,748","57,720","57,719"
"Bullock County, Alabama",,,"10,914",,,"10,915","10,886","10,623","10,589","10,605","10,764"
"Butler County, Alabama",,,"20,947",,,"20,946","20,945","20,676","20,409","20,289","20,296"
"Calhoun County, Alabama",,,"118,572",,,"118,586","118,443","117,760","117,264","116,547","115,916"
"Chambers County, Alabama",,,"34,215",,,"34,170","34,111","34,004","34,087","34,175","34,076"
"Cherokee County, Alabama",,,"25,989",,,"25,986","25,968","26,073","26,017","26,115","26,037"
"Chilton County, Alabama",,,"43,643",,,"43,631","43,682","43,749","43,709","43,836","43,931"
"Choctaw County, Alabama",,,"13,859",,,"13,858","13,849","13,604","13,559","13,397","13,323"
"Clarke County, Alabama",,,"25,833",,,"25,840","25,782","25,592","25,168","25,166","24,945"
"Clay County, Alabama",,,"13,932",,,"13,932","13,886","13,677","13,465","13,506","13,552"
"Cleburne County, Alabama",,,"14,972",,,"14,972","14,969","14,967","14,918","15,017","15,080"
"Coffee County, Alabama",,,"49,948",,,"49,948","50,179","50,465","51,217","50,861","50,909"
"Colbert County, Alabama",,,"54,428",,,"54,428","54,505","54,433","54,473","54,499","54,543"
"Conecuh County, Alabama",,,"13,228",,,"13,228","13,219","13,133","13,005","12,898","12,670"
"Coosa County, Alabama",,,"11,539",,,"11,758","11,757","11,344","11,181","11,065","10,886"
"Covington County, Alabama",,,"37,765",,,"37,765","37,784","38,049","37,809","37,850","37,914"
"Crenshaw County, Alabama",,,"13,906",,,"13,906","13,866","13,914","13,972","13,960","13,977"
"Cullman County, Alabama",,,"80,406",,,"80,410","80,454","80,455","80,361","80,783","81,289"
"Dale County, Alabama",,,"50,251",,,"50,251","50,340","50,085","50,310","49,845","49,484"
"Dallas County, Alabama",,,"43,820",,,"43,820","43,836","43,225","42,839","42,102","41,711"
"DeKalb County, Alabama",,,"71,109",,,"71,115","71,118","71,361","70,930","70,894","71,065"
"Elmore County, Alabama",,,"79,303",,,"79,296","79,444","79,983","80,392","80,808","80,977"
"Escambia County, Alabama",,,"38,319",,,"38,319","38,312","38,222","38,048","37,893","37,733"
"Etowah County, Alabama",,,"104,430",,,"104,427","104,501","104,310","104,324","103,962","103,531"
"Fayette County, Alabama",,,"17,241",,,"17,241","17,247","17,082","16,982","16,909","16,874"
"Franklin County, Alabama",,,"31,704",,,"31,709","31,755","31,757","31,660","31,542","31,601"
"Geneva County, Alabama",,,"26,790",,,"26,790","26,793","26,829","27,002","26,742","26,712"
"Greene County, Alabama",,,"9,045",,,"9,045","8,992","8,902","8,827","8,718","8,553"
"Hale County, Alabama",,,"15,760",,,"15,760","15,727","15,355","15,390","15,311","15,184"
"Henry County, Alabama",,,"17,302",,,"17,302","17,287","17,403","17,248","17,224","17,190"
"Houston County, Alabama",,,"101,547",,,"101,547","101,787","102,423","103,368","103,626","104,193"
"Jackson County, Alabama",,,"53,227",,,"53,226","53,159","53,244","53,048","52,944","52,665"
"Jefferson County, Alabama",,,"658,466",,,"658,350","658,302","657,927","657,953","659,197","660,793"
"Lamar County, Alabama",,,"14,564",,,"14,564","14,499","14,295","14,255","14,203","14,086"
"Lauderdale County, Alabama",,,"92,709",,,"92,709","92,726","92,609","92,694","92,774","93,096"
"Lawrence County, Alabama",,,"34,339",,,"34,339","34,306","34,044","33,776","33,571","33,477"
"Lee County, Alabama",,,"140,247",,,"140,296","140,799","144,146","148,040","151,708","154,255"
"Limestone County, Alabama",,,"82,782",,,"82,782","83,179","85,580","87,363","88,924","90,787"
"Lowndes County, Alabama",,,"11,299",,,"11,299","11,285","11,131","10,864","10,730","10,580"
"Macon County, Alabama",,,"21,452",,,"21,450","21,542","21,264","20,470","19,822","19,425"
"Madison County, Alabama",,,"334,811",,,"334,811","336,239","339,668","342,868","347,073","350,299"
"Marengo County, Alabama",,,"21,027",,,"21,029","20,951","20,711","20,443","20,228","20,110"
"Marion County, Alabama",,,"30,776",,,"30,777","30,810","30,731","30,516","30,305","30,271"
"Marshall County, Alabama",,,"93,019",,,"93,019","93,170","93,927","94,303","94,569","94,636"
"Mobile County, Alabama",,,"412,992",,,"413,143","413,432","413,154","413,955","414,560","415,123"
"Monroe County, Alabama",,,"23,068",,,"23,070","23,003","22,797","22,609","22,188","21,947"
"Montgomery County, Alabama",,,"229,363",,,"229,363","229,795","231,571","229,426","227,271","226,189"
"Morgan County, Alabama",,,"119,490",,,"119,486","119,557","119,870","120,057","119,628","119,607"
"Perry County, Alabama",,,"10,591",,,"10,581","10,536","10,502","10,172","9,978","9,826"
"Pickens County, Alabama",,,"19,746",,,"19,746","19,706","19,348","19,344","19,383","20,365"
"Pike County, Alabama",,,"32,899",,,"32,899","32,959","32,922","33,128","33,682","33,389"
"Randolph County, Alabama",,,"22,913",,,"22,914","22,928","22,834","22,657","22,663","22,539"
