fips,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
01001,43751,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54571,54632
01003,140416,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,182265,183195
01005,29042,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27457,27411
01007,19856,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22915,22867
01009,50982,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57322,57338
01011,11603,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10914,10890
01013,21394,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20947,20951
01015,111882,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118572,118510
01017,36600,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34215,34157
01019,23909,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25989,25991
01021,39604,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43643,43682
01023,15953,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13859,13820
01025,27870,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25833,25763
01027,14240,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,13932,13897
01029,14141,14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,14972,14988
01031,43639,43580,43716,43930,44315,45053,45604,46228,47458,48516,49440,49948,50104
01033,54979,54997,54793,54536,54279,54380,54359,54413,54486,54473,54426,54428,54433
01035,14077,14035,13940,13793,13585,13430,13421,13603,13441,13388,13274,13228,13202
01037,11842,11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,11539,11556
01039,37640,37514,37069,36901,36860,36806,37204,37441,37631,37545,37648,37765,37776
01041,13657,13692,13724,13635,13652,13727,13699,13880,13956,13922,14024,13906,13857
01043,77426,77473,77415,77443,77657,78131,78692,79044,79576,80273,80351,80406,80459
01045,49120,49124,49254,49373,49215,49245,49050,49077,49488,49871,49854,50251,50358
01047,46361,46198,46132,45377,45170,44795,44434,44323,44194,44265,43759,43820,43790
