fips,2010,2011,2012,2013,2014
01001,54684,55275,55192,55136,55395
01003,183216,186694,190561,195443,200111
01005,27336,27225,27169,26978,26887
01007,22879,22740,22634,22504,22506
01009,57344,57694,57748,57720,57719
01011,10886,10623,10589,10605,10764
01013,20945,20676,20409,20289,20296
01015,118443,117760,117264,116547,115916
01017,34111,34004,34087,34175,34076
01019,25968,26073,26017,26115,26037
01021,43682,43749,43709,43836,43931
01023,13849,13604,13559,13397,13323
01025,25782,25592,25168,25166,24945
01027,13886,13677,13465,13506,13552
01029,14969,14967,14918,15017,15080
01031,50179,50465,51217,50861,50909
01033,54505,54433,54473,54499,54543
01035,13219,13133,13005,12898,12670
01037,11757,11344,11181,11065,10886
01039,37784,38049,37809,37850,37914
01041,13866,13914,13972,13960,13977
01043,80454,80455,80361,80783,81289
01045,50340,50085,50310,49845,49484
01047,43836,43225,42839,42102,41711
01049,71118,71361,70930,70894,71065
01051,79444,79983,80392,80808,80977
01053,38312,38222,38048,37893,37733
01055,104501,104310,104324,103962,103531
01057,17247,17082,16982,16909,16874
01059,31755,31757,31660,31542,31601
01061,26793,26829,27002,26742,26712
01063,8992,8902,8827,8718,8553
01065,15727,15355,15390,15311,15184
01067,17287,17403,17248,17224,17190
01069,101787,102423,103368,103626,104193
01071,53159,53244,53048,52944,52665
01073,658302,657927,657953,659197,660793
01075,14499,14295,14255,14203,14086
01077,92726,92609,92694,92774,93096
01079,34306,34044,33776,33571,33477
01081,140799,144146,148040,151708,154255
01083,83179,85580,87363,88924,90787
01085,11285,11131,10864,10730,10580
01087,21542,21264,20470,19822,19425
01089,336239,339668,342868,347073,350299
01091,20951,20711,20443,20228,20110
01093,30810,30731,30516,30305,30271
01095,93170,93927,94303,94569,94636
01097,413432,413154,413955,414560,415123
01099,23003,22797,22609,22188,21947
01101,229795,231571,229426,227271,226189
01103,119557,119870,120057,119628,119607
01105,10536,10502,10172,9978,9826
01107,19706,19348,19344,19383,20365
01109,32959,32922,33128,33682,33389
01111,22928,22834,22657,22663,22539
01113,53279,54845,57736,59430,59608
01115,83800,84305,85165,86244,86697
01117,196036,197988,200963,204196,206655
01119,13748,13494,13411,13345,13166
01121,82067,81781,81858,81339,81322
01123,41490,41443,41156,41221,41165
01125,195056,196697,198643,200744,202212
01127,66991,66607,66125,65859,65471
01129,17601,17319,17088,16842,16834
01131,11579,11510,11386,11262,11098
01133,24409,24348,24185,24187,24150
02013,3178,3267,3320,3351,3360
02016,5551,5587,5671,5692,5750
02020,293337,296282,298633,301629,301010
