County,State,Gain
Catahoula,Louisiana,15.6
Chariton,Missouri,15.0
Nemaha,Kansas,14.9
Uintah,Utah,14.8
Sioux,Iowa,13.5
Kingsbury,South Dakota,13.5
Webster,Kentucky,13.1
Fayette,Alabama,12.7
Pocahontas,Iowa,12.6
Montague,Texas,12.3
Beckham,Oklahoma,12.3
Lyon,Iowa,12.1
Duchesne,Utah,12.1
Greene,Mississippi,12.0
Mercer,Ohio,12.0
Cloud,Kansas,12.0
Brown,Kansas,12.0
Cooke,Texas,11.9
Marshall,Minnesota,11.9
Butler,Iowa,11.8
Fairfax,Virginia,11.8
O Brien,Iowa,11.7
La Salle,Louisiana,11.6
Putnam,Ohio,11.5
Spink,South Dakota,11.5
Kiowa,Oklahoma,11.5
Jasper,Illinois,11.4
Carroll,Missouri,11.4
Pierce,Nebraska,11.3
Kingfisher,Oklahoma,11.3
Marshall,Kansas,11.3
Pike,Indiana,11.3
Spencer,Indiana,11.3
Osage,Missouri,11.2
Boone,Nebraska,11.2
Dubois,Indiana,11.2
Carroll,Iowa,11.1
Calumet,Wisconsin,11.1
Bremer,Iowa,11.0
Stevens,Minnesota,11.0
Rock,Minnesota,10.9
Redwood,Minnesota,10.9
Yellow Medicine,Minnesota,10.9
Antelope,Nebraska,10.8
Ste Genevieve,Missouri,10.8
Humboldt,Iowa,10.8
Bienville,Louisiana,10.7
Cuming,Nebraska,10.7
George,Mississippi,10.5
Saline,Nebraska,10.5
Geneva,Alabama,10.5
Sac,Iowa,10.5
Cedar,Nebraska,10.5
Keokuk,Iowa,10.4
Pipestone,Minnesota,10.4
Red River,Louisiana,10.4
Knox,Nebraska,10.4
Jackson,Minnesota,10.4
Newton,Mississippi,10.4
Kewaunee,Wisconsin,10.3
Perry,Missouri,10.3
Ochiltree,Texas,10.2
Bollinger,Missouri,10.2
Pope,Minnesota,10.1
Montgomery,Mississippi,10.1
Turner,South Dakota,10.0
Guthrie,Iowa,10.0
Shelby,Texas,10.0
Bates,Missouri,9.9
Murray,Oklahoma,9.8
Shelby,Iowa,9.8
Leake,Mississippi,9.8
Iowa,Iowa,9.8
Renville,Minnesota,9.8
Lac Qui Parle,Minnesota,9.8
Panola,Texas,9.8
Cedar,Iowa,9.7
Yuma,Colorado,9.7
Buena Vista,Iowa,9.7
Cumberland,Illinois,9.7
Bottineau,North Dakota,9.7
Murray,Minnesota,9.7
Grundy,Iowa,9.7
Tillman,Oklahoma,9.7
Kossuth,Iowa,9.6
Castro,Texas,9.6
Floyd,Virginia,9.6
Fillmore,Minnesota,9.6
Butler,Nebraska,9.6
Pine,Minnesota,9.6
Webster,Mississippi,9.5
Smith,Mississippi,9.5
Dickenson,Virginia,9.5
Williams,North Dakota,9.5
Pulaski,Indiana,9.5
Mitchell,Iowa,9.4
Fairfax City,Virginia,9.4
Ida,Iowa,9.4
Stephens,Oklahoma,9.4
Westchester,New York,9.4
Chickasaw,Iowa,9.4
Fayette,Texas,9.4
Shelby,Illinois,9.4
Hamilton,Nebraska,9.4
Howard,Iowa,9.3
Anoka,Minnesota,9.3
Sabine,Louisiana,9.3
Freestone,Texas,9.3
Hardin,Iowa,9.3
Nobles,Minnesota,9.3
Fulton,Pennsylvania,9.3
Buchanan,Iowa,9.3
Lunenburg,Virginia,9.2
Lavaca,Texas,9.2
Jones,Iowa,9.2
Stark,North Dakota,9.2
Cherokee,Kansas,9.2
Lawrence,Mississippi,9.2
Crawford,Iowa,9.2
Patrick,Virginia,9.2
Converse,Wyoming,9.2
Union,Iowa,9.2
Jackson,Iowa,9.2
Watonwan,Minnesota,9.1
Clinton,Illinois,9.1
Mercer,North Dakota,9.1
Sumner,Kansas,9.1
Jefferson,Nebraska,9.1
Sibley,Minnesota,9.1
Charles Mix,South Dakota,9.1
Holt,Nebraska,9.1
Mitchell,Kansas,9.1
Runnels,Texas,9.1
Karnes,Texas,9.1
Weston,Wyoming,9.1
Noble,Ohio,9.0
Clay,Kansas,9.0
Red River,Texas,9.0
Colfax,Nebraska,9.0
Campbell,Wyoming,9.0
Benton,Minnesota,9.0
Crenshaw,Alabama,9.0
Fountain,Indiana,8.9
Clayton,Iowa,8.9
Walthall,Mississippi,8.9
Randolph,Illinois,8.9
Jersey,Illinois,8.9
Butte,South Dakota,8.9
Lafayette,Wisconsin,8.9
Cullman,Alabama,8.9
Comanche,Texas,8.9
Lee,Texas,8.8
Cottonwood,Minnesota,8.8
Palo Alto,Iowa,8.8
Greene,Iowa,8.8
McClain,Oklahoma,8.8
Cleburne,Alabama,8.8
Uinta,Wyoming,8.7
Woodford,Illinois,8.7
Meeker,Minnesota,8.7
Boone,Iowa,8.7
Posey,Indiana,8.7
Young,Texas,8.7
Martin,Indiana,8.7
Dixie,Florida,8.7
Mountrail,North Dakota,8.6
Lyon,Minnesota,8.6
Auglaize,Ohio,8.6
Rusk,Texas,8.6
Blaine,Oklahoma,8.6
Roberts,South Dakota,8.6
Grundy,Missouri,8.5
Adams,Pennsylvania,8.5
Grant,Louisiana,8.5
Seward,Nebraska,8.5
Lawrence,Illinois,8.5
Wright,Missouri,8.5
Washita,Oklahoma,8.5
Burt,Nebraska,8.4
Gage,Nebraska,8.4
Scott,Arkansas,8.4
