County,State,Gain
Sioux,Iowa,34.9
Cedar,Nebraska,33.1
Lyon,Iowa,32.8
Nemaha,Kansas,32.6
Duchesne,Utah,31.0
Hutchinson,South Dakota,30.8
Boone,Nebraska,30.0
Spink,South Dakota,29.8
Clay,Nebraska,29.6
Colfax,Nebraska,29.5
Grundy,Iowa,29.3
Stark,North Dakota,29.0
Williams,North Dakota,28.7
Bottineau,North Dakota,28.6
Butler,Iowa,28.0
Cuming,Nebraska,27.9
Morgan,Utah,27.8
Kossuth,Iowa,27.7
Yuma,Colorado,27.7
Richland,North Dakota,27.3
Richland,Montana,27.0
Pierce,Nebraska,27.0
Ida,Iowa,27.0
Turner,South Dakota,26.9
Campbell,Wyoming,26.6
Kingsbury,South Dakota,26.4
Mercer,North Dakota,26.4
Redwood,Minnesota,26.4
Stevens,Minnesota,26.3
Carroll,Iowa,26.2
Plymouth,Iowa,26.2
Sac,Iowa,26.0
Pepin,Wisconsin,25.7
Chippewa,Minnesota,25.6
Brown,Minnesota,25.5
Pipestone,Minnesota,25.3
Chickasaw,Iowa,25.3
Lagrange,Indiana,25.3
Saline,Nebraska,25.3
Swift,Minnesota,25.2
Ochiltree,Texas,25.2
O Brien,Iowa,25.0
Delaware,Iowa,24.9
Andrews,Texas,24.7
Weston,Wyoming,24.6
Marshall,Kansas,24.6
Knox,Nebraska,24.6
Palo Alto,Iowa,24.6
Winneshiek,Iowa,24.5
Dubois,Indiana,24.3
Renville,Minnesota,24.2
Platte,Nebraska,24.1
Uintah,Utah,24.0
Lincoln,South Dakota,24.0
Clayton,Iowa,23.8
Howard,Iowa,23.7
Emery,Utah,23.6
Traill,North Dakota,23.6
Summit,Utah,23.3
Cottonwood,Minnesota,23.3
Holt,Nebraska,23.2
Barnes,North Dakota,23.1
Converse,Wyoming,22.9
Butler,Nebraska,22.8
Yellow Medicine,Minnesota,22.8
Marshall,Minnesota,22.8
Hancock,Iowa,22.7
Morton,North Dakota,22.6
Wabasha,Minnesota,22.5
Jefferson,Nebraska,22.5
Washita,Oklahoma,22.4
Crawford,Iowa,22.4
Bremer,Iowa,22.4
Calhoun,Iowa,22.3
York,Nebraska,22.2
Cedar,Iowa,22.2
Sibley,Minnesota,22.2
Saunders,Nebraska,22.2
Lafayette,Wisconsin,22.2
Lac Qui Parle,Minnesota,22.1
Rock,Minnesota,22.1
Kingman,Kansas,22.1
Pope,Minnesota,22.0
Dawson,Montana,21.9
Buchanan,Iowa,21.8
Humboldt,Iowa,21.7
Beckham,Oklahoma,21.7
Moffat,Colorado,21.6
Union,South Dakota,21.6
Nobles,Minnesota,21.6
Franklin,Idaho,21.6
Le Sueur,Minnesota,21.4
Emmet,Iowa,21.3
Putnam,Ohio,21.2
Custer,Nebraska,21.2
Murray,Minnesota,21.1
Kewaunee,Wisconsin,21.0
Todd,Minnesota,21.0
Bear Lake,Idaho,20.8
Iowa,Iowa,20.8
Seward,Nebraska,20.7
Mitchell,Kansas,20.6
Carver,Minnesota,20.6
Calumet,Wisconsin,20.6
Lyon,Minnesota,20.5
Lake,South Dakota,20.5
Antelope,Nebraska,20.5
St Croix,Wisconsin,20.5
Phelps,Nebraska,20.3
Monroe,Illinois,20.3
Jackson,Iowa,20.3
Osage,Missouri,20.2
Meeker,Minnesota,19.9
Fairfax City,Virginia,19.9
Pocahontas,Iowa,19.8
Fayette,Iowa,19.7
Red Willow,Nebraska,19.6
